products,0,0.1
products,1,12.9
products,2,75.46
products,3,93.83
products,4,95.7
products,5,96.91
products,6,97.39
products,7,97.48
products,8,97.49
products,9,97.5
products,10,97.5
products,11,97.5
products,12,97.5
products,13,97.51
products,14,97.51
products,15,97.51
products,16,97.51
products,17,97.51
products,18,97.51
twitter,0,0.1
twitter,1,2.42
twitter,2,49.03
twitter,3,94.08
twitter,4,95.96
twitter,5,96.07
twitter,6,96.08
twitter,7,96.08
twitter,8,96.08
twitter,9,96.08
twitter,10,96.08
twitter,11,96.08
twitter,12,96.08
twitter,13,96.08
twitter,14,96.08
twitter,15,96.08
twitter,16,96.08
twitter,17,96.08
twitter,18,96.08
twitter,19,96.08
twitter,20,96.08
uk-2006-05,0,0.1
uk-2006-05,1,2.97
uk-2006-05,2,34.81
uk-2006-05,3,70.17
uk-2006-05,4,80.84
uk-2006-05,5,83.94
uk-2006-05,6,85.02
uk-2006-05,7,85.4
uk-2006-05,8,85.55
uk-2006-05,9,85.66
uk-2006-05,10,85.71
uk-2006-05,11,85.74
uk-2006-05,12,85.75
uk-2006-05,13,85.76
uk-2006-05,14,85.77
uk-2006-05,15,85.77
uk-2006-05,16,85.77
uk-2006-05,17,85.78
uk-2006-05,18,85.78
uk-2006-05,19,85.78
uk-2006-05,20,85.78
