products,0,0.3
products,1,28.54
products,2,85.28
products,3,94.67
products,4,95.82
products,5,96.95
products,6,97.4
products,7,97.48
products,8,97.49
products,9,97.5
products,10,97.5
products,11,97.5
products,12,97.5
products,13,97.51
products,14,97.51
products,15,97.51
products,16,97.51
products,17,97.51
products,18,97.51
twitter,0,0.3
twitter,1,5.92
twitter,2,64.2
twitter,3,94.93
twitter,4,96.02
twitter,5,96.08
twitter,6,96.09
twitter,7,96.09
twitter,8,96.09
twitter,9,96.09
twitter,10,96.09
twitter,11,96.09
twitter,12,96.09
twitter,13,96.09
twitter,14,96.09
twitter,15,96.09
twitter,16,96.09
twitter,17,96.09
twitter,18,96.09
twitter,19,96.09
twitter,20,96.09
uk-2006-05,0,0.3
uk-2006-05,1,8.27
uk-2006-05,2,53.55
uk-2006-05,3,79.3
uk-2006-05,4,84.38
uk-2006-05,5,85.69
uk-2006-05,6,86.1
uk-2006-05,7,86.24
uk-2006-05,8,86.33
uk-2006-05,9,86.37
uk-2006-05,10,86.39
uk-2006-05,11,86.4
uk-2006-05,12,86.41
uk-2006-05,13,86.41
uk-2006-05,14,86.42
uk-2006-05,15,86.42
uk-2006-05,16,86.42
uk-2006-05,17,86.42
uk-2006-05,18,86.42
uk-2006-05,19,86.43
uk-2006-05,20,86.43
