products,0,0.99
products,1,48.36
products,2,90.46
products,3,95.29
products,4,96.62
products,5,97.34
products,6,97.47
products,7,97.49
products,8,97.5
products,9,97.5
products,10,97.5
products,11,97.51
products,12,97.51
products,13,97.51
products,14,97.51
products,15,97.51
products,16,97.51
products,17,97.51
products,18,97.51
twitter,0,0.99
twitter,1,14.57
twitter,2,80.95
twitter,3,95.57
twitter,4,96.09
twitter,5,96.12
twitter,6,96.12
twitter,7,96.12
twitter,8,96.12
twitter,9,96.12
twitter,10,96.12
twitter,11,96.12
twitter,12,96.12
twitter,13,96.12
twitter,14,96.12
twitter,15,96.12
twitter,16,96.12
twitter,17,96.12
twitter,18,96.12
twitter,19,96.12
twitter,20,96.12
uk-2006-05,0,0.99
uk-2006-05,1,21.5
uk-2006-05,2,72.18
uk-2006-05,3,84.16
uk-2006-05,4,86.2
uk-2006-05,5,86.7
uk-2006-05,6,86.87
uk-2006-05,7,86.93
uk-2006-05,8,86.96
uk-2006-05,9,86.98
uk-2006-05,10,86.99
uk-2006-05,11,86.99
uk-2006-05,12,87.0
uk-2006-05,13,87.0
uk-2006-05,14,87.0
uk-2006-05,15,87.01
uk-2006-05,16,87.01
uk-2006-05,17,87.01
uk-2006-05,18,87.01
uk-2006-05,19,87.01
uk-2006-05,20,87.01
