products,0,0.03
products,1,4.57
products,2,58.76
products,3,91.58
products,4,95.11
products,5,95.89
products,6,97.01
products,7,97.36
products,8,97.4
products,9,97.41
products,10,97.42
products,11,97.42
products,12,97.42
products,13,97.42
products,14,97.42
products,15,97.42
products,16,97.42
products,17,97.42
products,18,97.42
products,19,97.42
twitter,0,0.03
twitter,1,0.83
twitter,2,34.77
twitter,3,92.13
twitter,4,95.87
twitter,5,96.06
twitter,6,96.07
twitter,7,96.07
twitter,8,96.07
twitter,9,96.07
twitter,10,96.07
twitter,11,96.07
twitter,12,96.07
twitter,13,96.07
twitter,14,96.07
twitter,15,96.07
twitter,16,96.07
twitter,17,96.07
twitter,18,96.07
twitter,19,96.07
twitter,20,96.07
uk-2006-05,0,0.03
uk-2006-05,1,0.95
uk-2006-05,2,17.28
uk-2006-05,3,53.22
uk-2006-05,4,72.55
uk-2006-05,5,80.03
uk-2006-05,6,82.96
uk-2006-05,7,83.99
uk-2006-05,8,84.39
uk-2006-05,9,84.62
uk-2006-05,10,84.74
uk-2006-05,11,84.81
uk-2006-05,12,84.85
uk-2006-05,13,84.87
uk-2006-05,14,84.89
uk-2006-05,15,84.89
uk-2006-05,16,84.9
uk-2006-05,17,84.9
uk-2006-05,18,84.9
uk-2006-05,19,84.91
uk-2006-05,20,84.91
