       |                             Optimal                              |                         Selfish                          | Info
Boost  | Pulp     Time         Time1    Time2     Rep   Part1 Part2 CPU   | Time         Time1    Time2     Rep    Part1 Part2 CPU   | GPU  T_L   T_R   T_C   LOG
100.00 |    38.69=   38.69=max(   38.69,   38.69) 14.84  1.14  2.03 81.98 |    38.69=max(   38.69,   38.69)  65.64  0.36  0.36 33.64 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    38.69=   38.69=max(   38.69,   38.69) 100.00  0.00  0.00  0.00 |    38.69=max(   38.69,   38.69) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    43.40=   43.40=max(   43.40,   43.40)  8.50  0.99  1.98 88.52 |    43.40=max(   43.40,   43.40)  19.59  0.41  0.41 79.59 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    43.40=   43.40=max(   43.40,   43.40)  8.50  0.99  1.98 88.52 |    43.40=max(   43.40,   43.40)  49.74  0.26  0.26 49.74 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.70=   21.70=max(   21.70,   21.70)  8.50  0.99  1.99 88.52 |    21.70=max(   21.70,   21.70)  65.84  0.16  0.16 33.84 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.70=   21.70=max(   21.70,   21.70) 100.00  0.00  0.00  0.00 |    21.70=max(   21.70,   21.70) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    35.51=   35.51=max(   35.51,   35.50) 16.09  0.99  1.99 80.92 |    35.51=max(   35.51,   35.50)  19.07  0.93  0.93 79.07 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    35.51=   35.51=max(   35.51,   35.50) 16.09  0.99  1.99 80.92 |    35.51=max(   35.51,   35.50)  49.47  0.53  0.53 49.47 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    17.75=   17.75=max(   17.75,   17.75) 13.15  3.96  2.97 79.92 |    17.75=max(   17.75,   17.75)  65.67  0.33  0.33 33.67 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    17.75=   17.75=max(   17.75,   17.75) 100.00  0.00  0.00  0.00 |    17.75=max(   17.75,   17.75) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    40.12=   40.12=max(   40.12,   40.12)  9.87  0.00  0.99 89.14 |    40.12=max(   40.12,   40.12)  19.30  0.70  0.70 79.30 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    40.12=   40.12=max(   40.12,   40.12)  9.87  0.00  0.99 89.14 |    40.12=max(   40.12,   40.12)  49.60  0.40  0.40 49.60 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    20.06=   20.06=max(   20.06,   20.06) 10.86  0.00  2.98 86.16 |    20.06=max(   20.06,   20.06)  65.75  0.25  0.25 33.75 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    20.06=   20.06=max(   20.06,   20.06) 100.00  0.00  0.00  0.00 |    20.06=max(   20.06,   20.06) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000

 66.77 |   388.93=  388.93=max(  388.91,  388.93)  3.63 10.37 10.37 75.63 |   582.53=max(  582.53,  582.41)  12.95  1.05  1.05 84.95 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 85.69 |   100.05=  100.05=max(  100.04,  100.05) 21.67 14.33 14.33 49.67 |   116.75=max(  116.75,  116.73)  30.69  5.31  5.31 58.69 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    41.80=   41.80=max(   41.80,   41.79) 39.99  6.98  4.14 48.89 |    41.80=max(   41.80,   41.79)  40.23  6.77  6.77 46.23 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    41.80=   41.80=max(   41.80,   41.79) 97.23  2.07  0.69  0.00 |    41.80=max(   41.80,   41.79) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 72.17 |   149.32=  149.32=max(  149.32,  149.32)  4.35  9.65  9.65 76.35 |   206.91=max(  206.89,  206.91)  12.76  1.24  1.24 84.76 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    42.46=   42.46=max(   42.46,   42.46) 35.84  0.00  0.00 64.16 |    42.46=max(   42.46,   42.46)  31.45  4.55  4.55 59.45 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.23=   21.23=max(   21.23,   21.23) 35.84  0.00  0.00 64.16 |    21.23=max(   21.23,   21.23)  43.39  3.61  3.61 49.39 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    21.23=   21.23=max(   21.23,   21.23) 100.00  0.00  0.00  0.00 |    21.23=max(   21.23,   21.23) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 71.59 |   414.98=  414.98=max(  414.98,  414.97)  1.69 12.31 12.31 73.69 |   579.67=max(  579.67,  579.35)  11.92  2.08  2.08 83.92 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 79.94 |   108.73=  108.73=max(  108.73,  108.73) 18.53 17.47 17.47 46.53 |   136.03=max(  136.03,  135.96)  30.10  5.90  5.90 58.10 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.49 |    33.85=   33.85=max(   33.85,   33.85) 35.04 11.95 11.96 41.05 |    43.69=max(   43.69,   43.67)  39.51  7.49  7.49 45.51 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    33.48=   33.48=max(   33.48,   33.48) 100.00  0.00  0.00  0.00 |    33.48=max(   33.48,   33.47) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 70.92 |   260.38=  260.38=max(  260.38,  260.38)  3.56 10.44 10.44 75.56 |   367.17=max(  367.17,  367.16)  12.72  1.28  1.28 84.72 | 11GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 87.85 |    65.08=   65.08=max(   65.08,   65.07) 25.98 10.02 10.02 53.98 |    74.08=max(   74.08,   74.06)  29.72  6.28  6.28 57.72 | 27GB  2.00 15.00 60.00 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    30.78=   30.78=max(   30.78,   30.78) 46.02  0.00  0.87 53.11 |    30.78=max(   30.78,   30.78)  40.89  6.11  6.11 46.89 | 35GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |    30.78=   30.78=max(   30.78,   30.78) 100.00  0.00  0.00  0.00 |    30.78=max(   30.78,   30.78) 100.00  0.00  0.00  0.00 | 75GB  1.00  2.08 45.45 run-logs/part2-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
