short_app	policy_impl	cache_percentage	batch_size	dataset_short	pipeline	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
2HopRnd_unsup	MPSPhaseColl_2	19.000000	2000	PA_U	False	0.004621	0.001354	0.005725	0.007850	0.001526	0.003124	0.004379	50.608363	42.739493	6.652144	0.510614	0.430962	0.058424	182.865488	75.436640	8.376270	0.279053	0.235664	0.036680	0.189995	0.304957	0.494952	4.9871	2.617500	2.369600	None
2HopRnd_unsup	MPSPhaseColl_2	14.000000	2000	CF	False	0.005501	0.001436	0.009969	0.009606	0.001689	0.007123	0.006779	48.092448	45.478516	6.429036	0.477310	0.462259	0.060431	341.687019	76.616901	11.380504	0.577109	0.545742	0.077148	0.139938	0.236088	0.376027	7.0189	3.213200	3.805700	None
2HopRnd_unsup	MPSPhaseColl_2	2.000000	2000	MAG2_H	False	0.003684	0.001130	0.055709	0.019303	0.000974	0.006450	0.054509	17.973776	36.619658	45.406566	0.167244	0.389925	0.442831	250.968541	77.213542	11.328942	0.244443	0.498027	0.617529	0.020000	0.039684	0.059684	25.4318	6.451000	18.980800	None
2HopRnd_sup	MPSPhaseColl_2	20.000000	8000	PA_U	False	0.005582	0.001562	0.003605	0.008278	0.002399	0.000032	0.001592	97.321333	0.029562	2.649105	0.989037	0.000000	0.010963	212.955387	4.849434	8.735082	0.510880	0.000155	0.013906	0.199761	0.000000	0.199761	0.6859	0.422800	0.263100	None
2HopRnd_sup	MPSPhaseColl_2	14.000000	8000	CF	False	0.005300	0.001349	0.010178	0.009351	0.001686	0.006783	0.008918	45.141386	45.925228	8.933386	0.466654	0.470173	0.063173	302.549025	76.508194	11.319496	0.510098	0.518955	0.100947	0.139136	0.234153	0.373289	0.8770	0.392300	0.484700	None
2HopRnd_sup	MPSPhaseColl_2	2.000000	8000	MAG2_H	False	0.004718	0.001567	0.011242	0.022180	0.002557	0.007448	0.009477	55.056783	38.062655	6.880562	0.536756	0.408470	0.054774	325.130005	77.167843	10.963014	0.831357	0.574746	0.103896	0.020000	0.031687	0.051687	1.6450	1.043200	0.601800	None
