short_app	policy_impl	cache_percentage	batch_size	dataset_short	pipeline	epoch_time:sample_total	train_process_time	epoch_time:copy_time	epoch_time:train_total	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	coll_cache:z
2HopRnd_unsup	Rep_2	19.000000	2000	PA_U	True	5.787500	8.6040	8.336300	8.449100	0.004569	0.001619	0.023329	0.025302	0.017724	0.000000	0.000000	100.000000	0.000000	0.000000	0.675764	0.000000	0.324236	31.114017	nan	nan	0.551465	0.000000	0.000000	0.190000	0.000000	0.190000	None
2HopRnd_unsup	Rep_2	14.000000	2000	CF	True	6.763900	14.1925	13.926000	13.999300	0.005469	0.001678	0.039977	0.041872	0.032451	0.000000	0.000000	100.000000	0.000000	0.000000	0.700023	0.000000	0.299977	36.978830	nan	nan	1.200000	0.000000	0.000000	0.140000	0.000000	0.140000	None
2HopRnd_unsup	Rep_2	2.000000	2000	MAG2_H	True	4.705100	47.0257	46.841600	36.399700	0.003696	0.001415	0.138786	0.117136	0.097981	0.000000	0.000000	100.000000	0.000000	0.000000	0.320813	0.000000	0.679187	13.880242	nan	nan	1.360000	0.000000	0.000000	0.020000	0.000000	0.020000	None
2HopRnd_sup	Rep_2	20.000000	8000	PA_U	True	1.083500	1.0986	1.086500	0.641200	0.005660	0.011258	0.010044	0.012553	0.003613	0.000000	0.000000	100.000000	0.000000	0.000000	1.000000	0.000000	0.000000	145.295093	nan	nan	0.524951	0.000000	0.000000	0.200000	0.000000	0.200000	None
2HopRnd_sup	Rep_2	14.000000	8000	CF	True	0.826600	2.0982	2.064200	2.002800	0.005346	0.002474	0.046691	0.045736	0.037299	0.000000	0.000000	100.000000	0.000000	0.000000	0.665779	0.000000	0.334221	30.295718	nan	nan	1.130000	0.000000	0.000000	0.140000	0.000000	0.140000	None
2HopRnd_sup	Rep_2	2.000000	8000	MAG2_H	True	0.844100	3.0826	3.054400	2.787000	0.004741	0.002448	0.062551	0.058808	0.036453	0.000000	0.000000	100.000000	0.000000	0.000000	0.772974	0.000000	0.227026	41.423202	nan	nan	1.510000	0.000000	0.000000	0.020000	0.000000	0.020000	None
