       |                                 Optimal                                  |                              Naive                               |                                                                           Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 88.65 |   92.55=  92.55=max(  92.55,  92.55,  92.55,  92.55)   0.00  0.00  16.60 |  104.39=max( 104.33, 104.31, 104.39, 104.34)   0.00  0.00  10.40 | 11GB  1.00 17.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 90.47 |   95.37=  95.37=max(  95.37,  95.37,  95.37,  95.37)   0.00  0.00  17.10 |  105.41=max( 105.35, 105.33, 105.41, 105.36)   0.00  0.00   9.82 | 11GB  1.00 18.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 92.28 |   98.22=  98.22=max(  98.22,  98.22,  98.22,  98.22)   0.00  0.00  17.45 |  106.43=max( 106.37, 106.34, 106.43, 106.38)   0.00  0.00  10.60 | 11GB  1.00 19.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 93.94 |  100.94= 100.94=max( 100.94, 100.94, 100.94, 100.94)   0.00  0.00  16.56 |  107.45=max( 107.39, 107.36, 107.45, 107.40)   0.00  0.00  10.28 | 11GB  1.00 20.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 95.33 |  103.41= 103.41=max( 103.41, 103.41, 103.41, 103.41)   0.00  0.00  16.66 |  108.47=max( 108.41, 108.38, 108.47, 108.42)   0.00  0.00  10.41 | 11GB  1.00 21.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 96.60 |  105.77= 105.77=max( 105.77, 105.77, 105.77, 105.77)   0.00  0.00  17.52 |  109.49=max( 109.43, 109.40, 109.49, 109.44)   0.00  0.00  10.65 | 11GB  1.00 22.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 97.63 |  107.89= 107.89=max( 107.89, 107.89, 107.89, 107.89)   0.00  0.00  17.00 |  110.51=max( 110.45, 110.42, 110.51, 110.46)   0.00  0.00  10.29 | 11GB  1.00 23.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 98.63 |  110.00= 110.00=max( 110.00, 110.00, 110.00, 110.00)   0.00  0.00  16.66 |  111.53=max( 111.47, 111.44, 111.53, 111.48)   0.00  0.00   9.56 | 11GB  1.00 24.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.34 |  111.80= 111.80=max( 111.80, 111.80, 111.80, 111.80)   0.00  0.00  17.78 |  112.55=max( 112.49, 112.46, 112.55, 112.50)   0.00  0.00  10.04 | 11GB  1.00 25.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.78 |  113.32= 113.32=max( 113.32, 113.32, 113.32, 113.32)   0.00  0.00  17.55 |  113.57=max( 113.51, 113.47, 113.57, 113.52)   0.00  0.00   9.66 | 11GB  1.00 26.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 99.97 |  114.55= 114.55=max( 114.55, 114.55, 114.55, 114.55)   0.00  0.00  17.29 |  114.59=max( 114.53, 114.49, 114.59, 114.54)   0.00  0.00  10.09 | 11GB  1.00 27.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.10 |  115.73= 115.73=max( 115.73, 115.73, 115.73, 115.73)   0.00  0.00  17.81 |  115.61=max( 115.55, 115.51, 115.61, 115.56)   0.00  0.00  10.17 | 11GB  1.00 28.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.23 |  116.89= 116.89=max( 116.89, 116.89, 116.89, 116.89)   0.00  0.00  17.17 |  116.63=max( 116.57, 116.53, 116.63, 116.57)   0.00  0.00   9.88 | 11GB  1.00 29.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 24.91 |   16.75=  16.75=max(  16.75,  16.75,  16.75,  16.74)   0.00  0.00  15.71 |   67.25=max(  67.21,  67.21,  67.25,  67.22)   0.00  0.00  10.65 | 13GB  1.00  1.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [0/1614]
 32.41 |   22.08=  22.08=max(  22.08,  22.08,  22.08,  22.08)   0.00  0.00  17.21 |   68.13=max(  68.09,  68.09,  68.13,  68.10)   0.00  0.00  10.82 | 13GB  1.00  2.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 39.59 |   27.32=  27.32=max(  27.32,  27.32,  27.32,  27.32)   0.00  0.00  17.48 |   69.01=max(  68.97,  68.97,  69.01,  68.98)   0.00  0.00   9.82 | 13GB  1.00  3.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
