       |                         Optimal                          |                      Naive                       |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
100.00 |   70.95=  70.95=max(  70.95,  70.95)   0.00  0.00   4.21 |   70.95=max(  70.95,  70.95)   0.00  0.00   7.83 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   35.47=  35.47=max(  35.47,  35.47)   0.00  0.00   3.93 |   35.47=max(  35.47,  35.47)   0.00  0.00   8.04 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   80.13=  80.13=max(  80.13,  80.13)   0.00  0.00   4.83 |   80.13=max(  80.13,  80.13)   0.00  0.00   4.62 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   80.13=  80.13=max(  80.13,  80.13)   0.00  0.00   4.90 |   80.13=max(  80.13,  80.13)   0.00  0.00   3.68 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   40.07=  40.07=max(  40.07,  40.07)   0.00  0.00   4.88 |   40.07=max(  40.07,  40.07)   0.00  0.00   4.38 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
 69.10 | 1015.43=1015.43=max(1015.43,1015.43)   0.00  0.00   5.86 | 1469.43=max(1469.43,1469.43)   0.00  0.00   4.57 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 75.15 |  277.34= 277.34=max( 277.34, 277.34)   0.00  0.00   5.84 |  369.04=max( 369.04, 369.04)   0.00  0.00   8.36 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 69.12 |   85.44=  85.44=max(  85.44,  85.44)   0.00  0.00   5.70 |  123.61=max( 123.61, 123.61)   0.00  0.00   6.46 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 57.38 |  452.34= 452.34=max( 452.34, 452.34)   0.00  0.00   4.56 |  788.30=max( 788.30, 788.30)   0.00  0.00   4.77 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 80.65 |   99.18=  99.18=max(  99.18,  99.18)   0.00  0.00   4.44 |  122.97=max( 122.97, 122.97)   0.00  0.00   8.71 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   42.53=  42.53=max(  42.53,  42.53)   0.00  0.00   4.51 |   42.53=max(  42.53,  42.53)   0.00  0.00   7.91 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 68.60 | 1014.40=1014.40=max(1014.40,1014.40)   0.00  0.00   6.04 | 1478.61=max(1478.61,1478.61)   0.00  0.00   3.28 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 66.27 |  291.11= 291.11=max( 291.11, 291.11)   0.00  0.00   5.98 |  439.28=max( 439.28, 439.28)   0.00  0.00   6.44 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 46.79 |   71.10=  71.10=max(  71.10,  71.10)   0.00  0.00   6.01 |  151.94=max( 151.94, 151.94)   0.00  0.00   9.43 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 65.91 |  689.13= 689.13=max( 689.13, 689.13)   0.00  0.00   5.69 | 1045.60=max(1045.60,1045.60)   0.00  0.00   3.74 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.78 |  185.61= 185.61=max( 185.61, 185.61)   0.00  0.00   6.04 |  238.64=max( 238.64, 238.64)   0.00  0.00   7.02 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 75.84 |   62.22=  62.22=max(  62.22,  62.22)   0.00  0.00   5.68 |   82.05=max(  82.05,  82.05)   0.00  0.00   5.79 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
