       |                                 Optimal                                  |                              Naive                               |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
100.00 |  154.51= 154.51=max( 154.51, 154.51, 154.51, 154.51)   0.00  0.00   5.12 |  154.51=max( 154.51, 154.51, 154.51, 154.51)   0.00  0.00  10.83 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   77.26=  77.26=max(  77.26,  77.26,  77.26,  77.26)   0.00  0.00   5.11 |   77.26=max(  77.26,  77.26,  77.26,  77.26)   0.00  0.00   8.62 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   77.26=  77.26=max(  77.26,  77.26,  77.26,  77.26)   0.00  0.00   5.00 |   77.26=max(  77.26,  77.26,  77.26,  77.26)   0.00  0.00   3.54 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   86.72=  86.72=max(  86.72,  86.72,  86.72,  86.72)   0.00  0.00   4.08 |   86.72=max(  86.72,  86.72,  86.72,  86.72)   0.00  0.00   8.65 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   86.72=  86.72=max(  86.72,  86.72,  86.72,  86.72)   0.00  0.00   4.08 |   86.72=max(  86.72,  86.72,  86.72,  86.72)   0.00  0.00   7.93 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   43.36=  43.36=max(  43.36,  43.36,  43.36,  43.36)   0.00  0.00   4.07 |   43.36=max(  43.36,  43.36,  43.36,  43.36)   0.00  0.00   4.94 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   43.36=  43.36=max(  43.36,  43.36,  43.36,  43.36)   0.00  0.00   4.08 |   43.36=max(  43.36,  43.36,  43.36,  43.36)   0.00  0.00   3.50 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   70.95=  70.95=max(  70.95,  70.95,  70.95,  70.95)   0.00  0.00   4.23 |   70.95=max(  70.95,  70.95,  70.95,  70.95)   0.00  0.00   6.88 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   70.95=  70.95=max(  70.95,  70.95,  70.95,  70.95)   0.00  0.00   4.24 |   70.95=max(  70.95,  70.95,  70.95,  70.95)   0.00  0.00  11.30 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   35.47=  35.47=max(  35.47,  35.47,  35.47,  35.47)   0.00  0.00   4.05 |   35.47=max(  35.47,  35.47,  35.47,  35.47)   0.00  0.00   6.74 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
